natural,formal,score
"Let $n \geqslant 3$ be a positive integer and let $\left(a_{1}, a_{2}, \ldots, a_{n}\right)$ be a strictly increasing sequence of $n$ positive real numbers with sum equal to 2. Let $X$ be a subset of $\{1,2, \ldots, n\}$ such that the value of

$$
\left|1-\sum_{i \in X} a_{i}\right|
$$

is minimised. Prove that there exists a strictly increasing sequence of $n$ positive real numbers $\left(b_{1}, b_{2}, \ldots, b_{n}\right)$ with sum equal to 2 such that

$$
\sum_{i \in X} b_{i}=1
$$","theorem lean_workbook_plus_10020  (n : ℕ)
  (a : ℕ → ℝ)
  (h₀ : 0 < n)
  (h₁ : ∀ i, 0 < a i)
  (h₂ : ∀ i, a i < a (i + 1))
  (h₃ : ∑ x in Finset.range n, a x = 2) :
  ∃ b : ℕ → ℝ,
    ∀ i, 0 < b i
  ∧ ∑ x in Finset.range n, b x = 1 := by sorry",4
"Determine all functions $f:(0, \infty) \rightarrow \mathbb{R}$ satisfying

$$
\left(x+\frac{1}{x}\right) f(y)=f(x y)+f\left(\frac{y}{x}\right)
$$

for all $x, y>0$.

The final answer is $f(x)=C_{1} x+\frac{C_{2}}{x}$ with arbitrary constants $C_{1}$ and $C_{2}$.","theorem lean_workbook_plus_10024  (x y : ℝ)
  (f : ℝ → ℝ)
  (h₀ : 0 < x ∧ 0 < y)
  (h₁ : f (x + 1/x) = f (x * y) + f (1/x))
  (h₂ : f (x + 1/x) = f (y/x) + f (x * y)) :
  f (x + 1/x) = f (x * y) + f (1/x) := by sorry",4 out of 10
"Find all integer solutions of the equation

$$
\frac{x^{7}-1}{x-1}=y^{5}-1 \text {. }
$$

The final answer is that the given equation has no integer solutions.","theorem lean_workbook_plus_1010  (x y : ℤ)
  (h₀ : 0 < x ∧ 0 < y)
  (h₁ : (x^7 - 1) / (x - 1) = y^5 - 1) :
  False := by sorry",8
"Prove that, for every positive integer $n$, there exists an integer $m$ such that $2^{m}+m$ is divisible by $n$.","theorem lean_workbook_plus_10443 (n : ℕ) : ∃ m : ℕ, (2^m + m) % n = 0 := by sorry",8
"Let $a$ be a positive integer which is not a square number. Denote by $A$ the set of all positive integers $k$ such that

$$
k=\frac{x^{2}-a}{x^{2}-y^{2}}
$$

for some integers $x$ and $y$ with $x>\sqrt{a}$. Denote by $B$ the set of all positive integers $k$ such that (1) is satisfied for some integers $x$ and $y$ with $0 \leqslant x<\sqrt{a}$. Prove that $A=B$.","theorem lean_workbook_plus_4100  (a : ℕ)
  (h₀ : 0 < a)
  (h₁ : ¬ (∃ k : ℕ, 0 < k ∧ k ∣ a))
  (h₂ : 0 < a ∧ 0 < a) :
  (∃ k : ℕ, 0 < k ∧ k ∣ a) ∨ (∃ k : ℕ, 0 < k ∧ k ∣ a) := by sorry",2
Prove that there exist infinitely many positive integers $n$ such that $n^{2}+1$ has a prime divisor greater than $2 n+\sqrt{2 n}$.,"theorem lean_workbook_plus_10000 (n : ℕ) (hn: n > 0) (p : ℕ) (hp: p.Prime) (hpo: p > 2 * n + Real.sqrt (2 * n)) : ∃ k : ℕ, p ∣ k^2 + 1 ∧ k > 2 * n + Real.sqrt (2 * n) := by sorry",6
"For a polynomial $P(x)$ with integer coefficients let $P^{1}(x)=P(x)$ and $P^{k+1}(x)=$ $P\left(P^{k}(x)\right)$ for $k \geqslant 1$. Find all positive integers $n$ for which there exists a polynomial $P(x)$ with integer coefficients such that for every integer $m \geqslant 1$, the numbers $P^{m}(1), \ldots, P^{m}(n)$ leave exactly $\left\lceil n / 2^{m}\right\rceil$ distinct remainders when divided by $n$.

The final answers are all powers of 2 and all primes.","theorem lean_workbook_plus_3100  (k : ℕ)
  (h₀ : 0 < k)
  (h₁ : 3^k ≤ 2^(k + 1)) :
  k ≤ 2 := by sorry",3
"Prove that for every positive integer $n$, there exists a fraction $\frac{a}{b}$ where $a$ and $b$ are integers satisfying $0<b \leqslant \sqrt{n}+1$ and $\sqrt{n} \leqslant \frac{a}{b} \leqslant \sqrt{n+1}$.","theorem lean_workbook_plus_1000  (n : ℕ)
  (r : ℕ)
  (h₀ : 0 < r ∧ 0 < n)
  (h₁ : r^2 ≤ n)
  (h₂ : n < (r + 1)^2) :
  ∃ a b : ℤ, 0 < b ∧ b ≤ √n + 1 ∧ √n ≤ a / b ∧ a / b ≤ √(n + 1) := by sorry",7
"Let $a, b$ be integers, and let $P(x)=a x^{3}+b x$. For any positive integer $n$ we say that the pair $(a, b)$ is $n$-good if $n \mid P(m)-P(k)$ implies $n \mid m-k$ for all integers $m, k$. We say that $(a, b)$ is very good if $(a, b)$ is $n$-good for infinitely many positive integers $n$.

Show that all 2010-good pairs are very good.","theorem lean_workbook_plus_10000  (a b : ℤ)
  (h₀ : 0 < 2010)
  (h₁ : 2010 ∣ a * b)
  (h₂ : ∀ m k : ℤ, 2010 ∣ (a * m^3 + b * m) - (a * k^3 + b * k) → 2010 ∣ m - k) :
  ∀ i : ℕ, 1 ≤ i → 67^i ∣ a := by sorry",4
Let $k$ be a positive integer. Prove that the number $\left(4 k^{2}-1\right)^{2}$ has a positive divisor of the form $8 k n-1$ if and only if $k$ is even.,"theorem lean_workbook_plus_10044  (k : ℕ)
  (h₀ : 0 < k) :
  (∃ n : ℕ, k = 2 * n) ↔ Even k := by sorry",2
